name,artist,id,danceability,acousticness,liveness,loudness,speechiness,mood
King,Devi Sri Prasad,https://open.spotify.com/embed/track/3hmCkdpLim4GvbxsQg4FD0?utm_source=generator,0.898,0.026,0.288,0.84638994,0.0774,energetic
Naa Bujji Kotaru,Nalgonda Gaddar Narsanna,https://open.spotify.com/embed/track/5KCxxDPcmYFPzASoX43Hqq?utm_source=generator,0.789,0.609,0.0376,0.854733455,0.0569,romantic
Who R U,Devi Sri Prasad,https://open.spotify.com/embed/track/40Z8bpGJPxjClb4NK8j0LJ?utm_source=generator,0.707,0.0572,0.879,0.850978873,0.0723,cheerful
Hey Idi Nenena,Thaman S,https://open.spotify.com/embed/track/10nKbCaaU2OFTywWNvqHkX?utm_source=generator,0.77,0.611,0.0846,0.866891147,0.0428,romantic
Pothe Poyave,Rahul Sathu,https://open.spotify.com/embed/track/4MhbYguhB7yaIYfhijzzjL?utm_source=generator,0.652,0.194,0.117,0.691438958,0.0485,energetic
Manasu Palike,Ilaiyaraaja,https://open.spotify.com/embed/track/5m0ZRr7gP9zJnDzORzZMct?utm_source=generator,0.711,0.52,0.423,0.837033285,0.0351,cheerful
Dinchak,Mani Sharma,https://open.spotify.com/embed/track/4yBodXwevp3b7AwbVQR3j2?utm_source=generator,0.853,0.136,0.0465,0.834619625,0.22,energetic
Light Theesko,Devi Sri Prasad,https://open.spotify.com/embed/track/6WUHTxhrhP7HzcbPxkYmsh?utm_source=generator,0.786,0.164,0.356,0.840966656,0.116,energetic
Gundelothulalo,Santhosh Narayanan,https://open.spotify.com/embed/track/1DOq4xSVR5vaUu1oYNl0Mf?utm_source=generator,0.644,0.948,0.138,0.742513186,0.0288,Chill
Mudinepalli,A.R. Rahman,https://open.spotify.com/embed/track/1PTzecwxty4LH1X663ngQp?utm_source=generator,0.863,0.0591,0.0399,0.741261659,0.181,energetic
Nannu Vadali,K. V. Mahadevan,https://open.spotify.com/embed/track/2cnsQ3GsY5ofHOd2GxCDPJ?utm_source=generator,0.51,0.958,0.357,0.619058971,0.145,Chill
Silalapai Silpalu,K. V. Mahadevan,https://open.spotify.com/embed/track/2A6tQCoW5RDLTnhBDFBclH?utm_source=generator,0.404,0.531,0.529,0.649065824,0.0723,cheerful
Night Is Still Young,Devi Sri Prasad,https://open.spotify.com/embed/track/74Y4gLAqRoi3xyecf0Fu1a?utm_source=generator,0.801,0.0648,0.328,0.823802855,0.15,energetic
Aligithiva Sakhi,Pendyala Nageswara Rao,https://open.spotify.com/embed/track/3ubtrr27EuBxqbUrkyBC0t?utm_source=generator,0.368,0.901,0.141,0.681188355,0.077,Chill
Sirimalle Neeve,Rajan–Nagendra,https://open.spotify.com/embed/track/0JpfnHYrFmyXdSU0wtu53Q?utm_source=generator,0.422,0.944,0.335,0.799040496,0.0327,Chill
Edolavundi,Ramana Gogula,https://open.spotify.com/embed/track/0fI9ckpsHMn8aGNc2iRH7S?utm_source=generator,0.827,0.213,0.0582,0.872999791,0.0314,energetic
"Komma Kommako (From ""Gorintaaku"")",S. P. Balasubrahmanyam,https://open.spotify.com/embed/track/7BvqmpEL92da4cPpluy9rt?utm_source=generator,0.527,0.958,0.273,0.843350517,0.0502,Chill
Rasaleelavela,Ilaiyaraaja,https://open.spotify.com/embed/track/3QaSsK90b1FSCyJKCPOfVt?utm_source=generator,0.616,0.464,0.0667,0.768318484,0.0836,romantic
Lingo Lingo,Moushmi Neha,https://open.spotify.com/embed/track/6n9lq65HaEdD9rfSIrYJhl?utm_source=generator,0.756,0.11,0.134,0.897106588,0.208,energetic
Sayyare Sayya,Anup Rubens,https://open.spotify.com/embed/track/4PHaqBtNGjMESISjvPKoGE?utm_source=generator,0.84,0.414,0.255,0.716648291,0.128,romantic
Aakatayi,Mani Sharma,https://open.spotify.com/embed/track/4K1m99FiwgzCgbdFu7gc0G?utm_source=generator,0.828,0.213,0.0581,0.87302959,0.0496,energetic
Blast Baby,Various Artists,https://open.spotify.com/embed/track/37SQujOhWY21rJJqM7Rars?utm_source=generator,0.711,0.36,0.286,0.845913168,0.056,romantic
Evarikosam,K. V. Mahadevan,https://open.spotify.com/embed/track/42LA7qZmA1CoRdZ6qYRWdJ?utm_source=generator,0.27,0.964,0.284,0.680264609,0.142,Chill
Dont Stop,Devi Sri Prasad,https://open.spotify.com/embed/track/50s6uX9YwwF7T1VOFDNpGA?utm_source=generator,0.834,0.215,0.127,0.85291576,0.0757,energetic
Shankar Dada M. B. B. S.,Devi Sri Prasad,https://open.spotify.com/embed/track/4CfXsxmU7aDD43Kz06jAOE?utm_source=generator,0.66,0.414,0.0903,0.733692899,0.358,romantic
Jiyajaley,Thaman S,https://open.spotify.com/embed/track/4gpMFMFXw200xvj5qvNesy?utm_source=generator,0.531,0.796,0.0704,0.751065288,0.212,Chill
Aatakundo Time,Mani Sharma,https://open.spotify.com/embed/track/4yKIwvcwfqnxyuQq9rpt5Y?utm_source=generator,0.917,0.165,0.0655,0.767364939,0.0754,energetic
Kanapadaleda,Devi Sri Prasad,https://open.spotify.com/embed/track/7j0Wn2gzDx80YbgfkpPu2u?utm_source=generator,0.623,0.611,0.143,0.802467296,0.197,romantic
Gola Petty,Chakri,https://open.spotify.com/embed/track/6Q7QOINF6xF4wFSgEJMBap?utm_source=generator,0.797,0.306,0.245,0.796805626,0.111,energetic
Family Party,Devi Sri Prasad,https://open.spotify.com/embed/track/2cOBMRGCQ3Qi7gHrTELdHn?utm_source=generator,0.836,0.119,0.111,0.815340147,0.0752,energetic
Yavon Kanda Ninna,Hamsa Lekha,https://open.spotify.com/embed/track/0vwULlsFnjXXNEROvQK6qd?utm_source=generator,0.715,0.661,0.371,0.608450788,0.151,cheerful
Mehbooba,Venkata Chaitanya,https://open.spotify.com/embed/track/4Y6GNJzcx9PwYlkvIbPavl?utm_source=generator,0.843,0.0767,0.093,0.791203552,0.0348,energetic
Midnight,Damini Bhatla,https://open.spotify.com/embed/track/6xHyagpRbyNTbX0UOiL6wJ?utm_source=generator,0.619,0.828,0.333,0.830596859,0.0503,Chill
Andalalo,Ilaiyaraaja,https://open.spotify.com/embed/track/4ADmVZKScgWTaBfP0k77eA?utm_source=generator,0.397,0.578,0.48,0.652671415,0.0317,cheerful
